iso_code,continent,location,date,total_cases,new_cases,population,population_density,gdp_per_capita,life_expectancy,sum_of_cases,Doctors_per_1000_people)
ATG,North America,Antigua and Barbuda,2021-05-31,1260.0,1.0,97928.0,231.845,21490.943,77.02,1101.0,0.158
ARG,South America,Argentina,2021-05-31,3781784.0,28175.0,45195777.0,16.177,18933.907,76.67,2156270.0,3.907
BHS,North America,Bahamas,2021-05-31,11796.0,51.0,393248.0,39.497,27717.847,73.92,3925.0,2.263
BRB,North America,Barbados,2021-05-31,4017.0,0.0,287371.0,664.4630000000001,16978.068,79.19,3634.0,1.811
BLZ,North America,Belize,2021-05-31,12809.0,18.0,397621.0,16.426,7824.361999999999,74.62,2033.0,0.828
BOL,South America,Bolivia,2021-05-31,371279.0,2805.0,11673029.0,10.202,6885.829000000001,71.51,211155.0,0.473
BRA,South America,Brazil,2021-05-31,16545554.0,30434.0,212559409.0,25.04,14103.452,75.88,8869581.0,1.8519999999999999
CAN,North America,Canada,2021-05-31,1389328.0,2970.0,37742157.0,4.037,44017.59099999999,82.43,804919.0,2.539
CHL,South America,Chile,2021-05-31,1384346.0,6839.0,19116209.0,24.281999999999996,22767.037,80.18,775373.0,1.033
COL,South America,Colombia,2021-05-31,3406456.0,23177.0,50882884.0,44.223,13254.948999999999,77.29,1763681.0,1.821
CRI,North America,Costa Rica,2021-05-31,318986.0,4884.0,5094114.0,96.079,15524.995,80.28,149665.0,1.15
CUB,North America,Cuba,2021-05-31,142266.0,1100.0,11326616.0,110.40799999999999,,78.8,130403.0,7.519
DMA,North America,Dominica,2021-05-31,188.0,0.0,71991.0,98.56700000000001,9673.367,75.0,100.0,1.78
DOM,North America,Dominican Republic,2021-05-31,292786.0,876.0,10847904.0,222.873,14600.861,74.08,122001.0,1.494
ECU,South America,Ecuador,2021-05-31,426037.0,196.0,17643060.0,66.939,10581.936000000002,77.01,213525.0,1.665
SLV,North America,El Salvador,2021-05-31,73702.0,456.0,6486201.0,307.811,7292.4580000000005,73.32,27460.0,1.5959999999999999
GRD,North America,Grenada,2021-05-31,161.0,0.0,112519.0,317.132,13593.877,72.4,34.0,0.6679999999999999
GTM,North America,Guatemala,2021-05-31,254417.0,192.0,17915567.0,157.834,7423.808000000001,74.3,116405.0,0.897
GUY,South America,Guyana,2021-05-31,16952.0,42.0,786559.0,3.952,7435.047,69.91,10620.0,0.214
HTI,North America,Haiti,2021-05-31,14351.0,93.0,11402533.0,398.44800000000004,1653.1729999999998,64.0,4352.0,0.23600000000000002
HND,North America,Honduras,2021-05-31,238227.0,1275.0,9904608.0,82.805,4541.795,75.27,116400.0,0.39
JAM,North America,Jamaica,2021-05-31,48557.0,90.0,2961161.0,266.879,8193.571,74.47,35730.0,0.47200000000000003
MEX,North America,Mexico,2021-05-31,2413742.0,932.0,128932753.0,66.444,17336.468999999997,75.05,987648.0,2.231
NIC,North America,Nicaragua,2021-05-31,7324.0,0.0,6624554.0,51.667,5321.444,74.48,1278.0,0.914
PAN,North America,Panama,2021-05-31,378097.0,321.0,4314768.0,55.133,22267.037,78.51,131307.0,1.594
PRY,South America,Paraguay,2021-05-31,355384.0,2696.0,7132530.0,17.144000000000002,8827.01,74.25,247452.0,1.286
PER,South America,Peru,2021-05-31,1955469.0,7914.0,32971846.0,25.129,12236.706,76.74,940332.0,1.1159999999999999
KNA,North America,Saint Kitts and Nevis,2021-05-31,68.0,0.0,53192.0,212.865,24654.385,76.23,36.0,1.06
LCA,North America,Saint Lucia,2021-05-31,5067.0,14.0,183629.0,293.187,12951.839,76.2,4714.0,0.10300000000000001
VCT,North America,Saint Vincent and the Grenadines,2021-05-31,2035.0,8.0,110947.0,281.78700000000003,10727.146,72.53,1914.0,0.574
SUR,South America,Suriname,2021-05-31,14954.0,190.0,586634.0,3.612,13767.118999999999,71.68,8744.0,0.8170000000000001
TTO,North America,Trinidad and Tobago,2021-05-31,23909.0,271.0,1399491.0,266.88599999999997,28763.071,73.51,16759.0,1.821
USA,North America,United States,2021-05-31,33267507.0,5776.0,331002647.0,35.608000000000004,54225.445999999996,78.86,13167263.0,2.568
URY,South America,Uruguay,2021-05-31,294503.0,3015.0,3473727.0,19.750999999999998,20551.409,77.91,275384.0,3.736
VEN,South America,Venezuela,2021-05-31,234165.0,1365.0,28435943.0,36.253,16745.022,72.06,120607.0,1.925
